================================================
  NLOC    CCN   token  PARAM  length  location  
       8      1    101      0       8 upgrade@21-28@./migrations/versions/fd3dc97009bb_create_interruptions_table.py
       2      1     12      0       2 downgrade@31-32@./migrations/versions/fd3dc97009bb_create_interruptions_table.py
      21      1     52      0      22 run_migrations_offline@29-50@./migrations/env.py
      18      1     64      0      20 run_migrations_online@53-72@./migrations/env.py
17 file analyzed.
==============================================================
NLOC    Avg.NLOC  AvgCCN  Avg.token  function_cnt    file
--------------------------------------------------------------
      0       0.0     0.0        0.0         0     ./tests/app/__init__.py
     17       5.0     1.0       34.0         2     ./tests/app/test_task.py
     39       4.6     1.7       34.4         7     ./ttrack/app/project.py
     80       6.0     2.3       48.1        12     ./ttrack/app/task.py
     49       2.0     1.0        9.0        14     ./ttrack/repository/storage.py
    100       5.8     1.1       24.6        10     ./ttrack/repository/models.py
     92       5.1     1.5       46.2        17     ./ttrack/repository/database.py
      2       0.0     0.0        0.0         0     ./ttrack/cli/__init__.py
    214       8.7     2.2       56.0        21     ./ttrack/cli/cli.py
      5       2.0     1.0       12.0         1     ./ttrack/__main__.py
     33       6.5     1.0       76.0         2     ./migrations/versions/0809629b126c_create_task_table.py
     26       4.5     1.0       38.0         2     ./migrations/versions/405f630e8f79_create_project_table.py
     22       4.5     1.0       40.0         2     ./migrations/versions/469e554e613d_create_tasktags_table.py
     21       4.0     1.0       29.5         2     ./migrations/versions/1bd006d42d5d_create_tags_table.py
     24       5.0     1.0       56.5         2     ./migrations/versions/fd3dc97009bb_create_interruptions_table.py
     51      19.5     1.0       58.0         2     ./migrations/env.py
      2       0.0     0.0        0.0         0     ./test.py

==========================================================================================================
!!!! Warnings (cyclomatic_complexity > 3 or length > 1000 or nloc > 1000000 or parameter_count > 100) !!!!
================================================
  NLOC    CCN   token  PARAM  length  location  
------------------------------------------------
      13      5     87      4      15 start@16-30@./ttrack/app/task.py
      12      4     87      4      13 finish@91-103@./ttrack/cli/cli.py
      12      4     87      4      13 archive@115-127@./ttrack/cli/cli.py
      12      4     87      4      13 activate@130-142@./ttrack/cli/cli.py
      14      5    111      4      14 list@175-188@./ttrack/cli/cli.py
      16      4     67      3      17 mount_connection_data@208-224@./ttrack/cli/cli.py
==========================================================================================
Total nloc   Avg.NLOC  AvgCCN  Avg.token   Fun Cnt  Warning cnt   Fun Rt   nloc Rt
------------------------------------------------------------------------------------------
       777       5.8     1.6       39.9       96            6      0.06    0.14
